排名,学校名称,英文校名,标签,地区,类型,总分,办学层次,人才培养,办学资源,国际竞争力,学科水平,师资规模与结构,服务社会,科学研究,重大项目与科研成果,高端人才
63,北京邮电大学,Beijing University of Posts and Telecommunications,双一流/211,北京,理工,311.3,27.4,160.2,4.2,9.6,16.8,41.5,5.8,20.5,16.0,9.3
64,浙江工业大学,Zhejiang University of Technology,,浙江,理工,309.7,30.7,168.4,5.0,12.0,13.8,39.5,8.0,19.9,6.1,6.4
65,河海大学,Hohai University,双一流/211,江苏,理工,307.7,31.0,146.2,4.6,11.3,18.4,43.3,6.0,22.9,16.4,7.7
66,北京工业大学,Beijing University of Technology,双一流/211,北京,理工,306.1,31.3,152.7,6.7,9.8,17.7,45.3,5.5,20.8,7.8,8.4
67,西北大学,Northwest University,双一流/211,陕西,综合,305.2,29.3,153.3,3.9,10.1,20.4,44.9,2.4,23.6,8.1,9.1
68,北京化工大学,Beijing University of Chemical Technology,双一流/211,北京,理工,300.9,29.0,140.1,4.9,16.5,13.6,39.4,14.6,23.1,9.6,10.1
69,西南大学,Southwest University,双一流/211,重庆,综合,300.6,27.3,148.9,6.2,9.2,23.8,42.4,4.1,24.8,6.2,7.6
70,云南大学,Yunnan University,双一流/211,云南,综合,297.8,31.9,145.0,6.4,12.2,20.7,39.4,2.6,23.4,8.6,7.7
71,南昌大学,Nanchang University,双一流/211,江西,综合,297.0,27.7,155.4,7.0,14.0,18.3,36.9,6.3,23.8,2.9,4.6
72,深圳大学,Shenzhen University,,广东,综合,296.4,28.0,122.5,10.0,20.5,17.9,41.5,3.3,33.4,6.5,12.9
73,西北农林科技大学,Northwest A&F University,双一流/985/211,陕西,农业,292.4,29.8,141.6,6.1,12.8,18.2,44.7,2.4,23.4,6.9,6.4
74,中国地质大学（北京）,China University of Geosciences (Beijing),双一流/211,北京,理工,291.4,32.6,140.7,4.9,10.6,13.9,38.7,1.6,25.0,10.0,13.5
75,华北电力大学,North China Electric Power University,双一流/211,北京,理工,286.4,28.9,143.4,5.5,9.1,11.4,40.1,14.2,20.7,6.5,6.8
76,东华大学,Donghua University,双一流/211,上海,理工,282.8,29.5,136.1,4.3,11.7,15.6,41.6,7.7,18.7,9.5,8.1
77,中国矿业大学（北京）,China University of Mining and Technology - Beijing,双一流/211,北京,理工,282.3,27.4,129.7,3.1,6.5,14.6,39.4,10.0,19.2,23.0,9.3
78,宁波大学,Ningbo University,双一流,浙江,综合,281.3,28.5,152.3,5.7,9.4,13.6,39.6,1.3,18.1,4.9,7.8
79,华南师范大学,South China Normal University,双一流/211,广东,师范,280.8,28.1,142.7,6.2,11.1,18.1,38.9,1.8,17.8,7.8,8.4
80,江苏大学,Jiangsu University,,江苏,综合,280.2,27.2,130.7,4.1,16.0,14.6,43.6,12.6,19.1,8.3,3.9
81,福州大学,Fuzhou University,双一流/211,福建,理工,277.5,30.0,143.9,4.4,13.4,15.8,38.0,5.9,18.7,1.9,5.6
82,扬州大学,Yangzhou University,,江苏,综合,271.8,26.6,130.4,5.1,11.7,18.0,40.5,5.3,18.6,10.5,5.0
83,合肥工业大学,Hefei University of Technology,双一流/211,安徽,理工,270.2,27.4,137.8,4.2,8.3,17.5,40.6,6.0,19.6,3.4,5.4
84,北京林业大学,Beijing Forestry University,双一流/211,北京,林业,269.6,28.1,133.1,3.6,7.4,15.7,43.4,<1.0,19.6,11.4,6.8
85,南京邮电大学,Nanjing University of Posts and Telecommunications,双一流,江苏,理工,268.0,26.4,147.3,3.3,11.4,13.4,39.2,5.0,13.9,4.8,3.3
86,湖南师范大学,Hunan Normal University,双一流/211,湖南,师范,263.7,28.1,135.9,3.7,8.5,16.7,37.9,1.2,17.0,6.3,8.2
87,福建师范大学,Fujian Normal University,,福建,师范,263.1,27.5,141.3,3.8,10.8,16.1,38.7,<1.0,14.3,4.1,6.4
88,浙江师范大学,Zhejiang Normal University,,浙江,师范,262.4,26.6,146.1,4.4,12.1,12.6,37.5,1.9,11.4,4.3,5.5
89,南京工业大学,Nanjing Tech University,,江苏,理工,258.9,27.2,121.6,4.8,14.4,10.6,39.1,9.6,15.8,10.4,5.4
90,广西大学,Guangxi University,双一流/211,广西,综合,257.6,29.5,130.0,4.4,10.5,15.9,37.0,3.6,16.8,5.4,4.5
91,首都师范大学,Capital Normal University,双一流,北京,师范,257.3,30.2,125.0,4.7,9.3,15.5,40.3,1.6,15.2,7.2,8.3
92,长安大学,Chang'an University,双一流/211,陕西,理工,257.0,28.6,137.5,4.5,9.8,12.0,39.2,3.6,15.6,3.1,2.9
93,南京林业大学,Nanjing Forestry University,双一流,江苏,林业,253.0,24.8,134.6,3.0,10.9,13.5,38.4,3.6,13.5,7.8,2.8
94,华南农业大学,South China Agricultural University,双一流,广东,农业,251.9,25.5,120.9,5.5,11.0,15.7,37.7,4.7,15.0,10.8,5.3
95,安徽大学,Anhui University,双一流/211,安徽,综合,249.5,28.2,128.0,5.5,10.2,15.3,37.0,<1.0,17.7,2.7,4.0
95,贵州大学,Guizhou University,双一流/211,贵州,综合,249.5,26.9,133.9,4.1,6.0,17.5,35.2,3.8,17.6,2.6,2.0
97,杭州电子科技大学,Hangzhou Dianzi University,,浙江,理工,248.2,27.8,131.3,3.8,10.7,9.2,38.5,3.2,16.2,3.6,3.9
98,广州大学,Guangzhou University,,广东,综合,247.7,25.0,117.0,8.8,12.1,13.3,38.9,<1.0,17.6,6.3,7.7
99,河南大学,Henan University,双一流,河南,综合,247.6,26.5,117.9,5.5,11.3,17.5,40.4,1.2,17.2,5.1,5.0
100,广东工业大学,Guangdong University of Technology,,广东,理工,247.2,25.8,120.1,5.4,14.2,13.0,35.4,4.8,17.5,5.8,5.2
